case,leaderboard,toposcore,topoF1_0,topoF1_1,topoF1_2,surface_dice,voi_score,voi_total,voi_split,voi_merge
1004283650,0.6999951385964055,0.5257048092868989,1.0,0.037037037037037035,nan,0.9740088564657685,0.5753731315637625,2.4600086746153567,1.2497640427726673,1.2102446318426892
102536988,0.4924901230907064,0.12313613270481018,0.2422680412371134,0.00039416633819471815,nan,0.8298803565596309,0.4716890242382644,3.7334695008355734,1.8308321708390614,1.9026373299965122
1029212680,0.6492283464756807,0.3919018767548397,0.7722772277227723,0.0,nan,0.9738122343719977,0.5452100040543704,2.780518776029137,1.42077628134762,1.3597424946815173
1033784946,0.6125682147039891,0.3246117631640112,0.6371681415929203,0.002583979328165375,nan,0.9397928276791642,0.5321634173345097,2.9304067599434127,1.4967495171326173,1.4336572428107952
1059332280,0.5528996463854148,0.2915211178151795,0.574468085106383,0.0,nan,0.8220122905047255,0.5078257410405917,3.23059807845954,1.7288811801218322,1.5017168983377078
1061356924,0.5044835806692123,0.0797757935214756,0.1572052401746725,0.0,nan,0.8239149263093151,0.5490874811557409,2.7373447420749835,1.4244826924793053,1.3128620495956782
1159818141,0.5618777599037169,0.22553897180762852,0.4444444444444444,0.0,nan,0.8461094298148343,0.5659364797892469,2.5566091820787444,1.3328764039478325,1.223732778130912
1176487902,0.4743883785674868,0.10277725297562819,0.20253164556962025,0.0,nan,0.746711458615459,0.5205891204553935,3.069668962253343,1.3145184642569931,1.7551504979963495
1189767014,0.4517307594386403,0.050556681102581734,0.099626400996264,0.0,nan,0.7372543220524058,0.5100706925414965,3.2017085384600596,1.6275409090974762,1.5741676293625835
1235128733,0.549186657753141,0.192175218581648,0.378698224852071,0.0,nan,0.8793390106484213,0.5250441098619978,3.015339608087654,1.5232659318688884,1.4920736762187659
1253813461,0.672590178461168,0.4300531242094612,0.847457627118644,0.0,nan,0.9773131676651746,0.5757560929014813,2.456155261629233,1.2489257346388862,1.2072295269903468
1261544272,0.6224856477126026,0.39385163733570955,0.7761194029850746,0.0,nan,0.9063687186621763,0.5345745856575089,2.9021545158195483,1.5529275535299598,1.3492269622895883
1330705651,0.44258681492555163,0.03175263619341582,0.060555088309503784,0.002077382498052454,nan,0.7594669855888023,0.47785022603270316,3.6423530883472672,1.7932497720224811,1.8491033163247859
1341999317,0.5214842516039694,0.10655660859354754,0.2087912087912088,0.0012239902080783353,nan,0.8620376814285349,0.5365830872169084,2.8788142589851446,1.4713183974615895,1.407495861523555
1351645019,0.6498220781018316,0.39469320066334995,0.7777777777777778,0.0,nan,0.9589428308314384,0.5593832203194947,2.625610754101899,1.3324199243220174,1.293190829779882
1391167593,0.31253798564239543,0.021513511488979196,0.041176470588235294,0.0012547051442910915,nan,0.31447662863789383,0.5600488919212538,2.618527979878621,0.8829471268815188,1.7355808529971022
1430679851,0.5624613324932399,0.29164522216503685,0.5747126436781609,0.0,nan,0.8438915971114017,0.5131591624421097,3.162377115390014,1.6584842138644929,1.5038929015255211
1449602646,0.5829246757346995,0.18453188602442336,0.36363636363636365,0.0,nan,0.9321946802624557,0.5751342052443231,2.4624153857283293,1.2149136662902704,1.2475017194380589
1460828631,0.4592829748850705,0.0833147694364001,0.16417910447761194,0.0,nan,0.6935293666297931,0.5472950449534942,2.757226711142456,1.3722146849325334,1.3850120262099226
1531506078,0.658079760804472,0.35820895522388063,0.7058823529411765,0.0,nan,0.9299008415677826,0.6432907991102396,1.8483564062740037,0.9133267747898706,0.9350296314841331
1578248244,0.5711958064898581,0.2373208583945942,0.46766169154228854,0.0,nan,0.9178955763587968,0.5106745635597172,3.193980872602324,1.6819933599604877,1.5119875126418363
