case,postprocess,leaderboard,toposcore,topoF1_0,topoF1_1,topoF1_2,surface_dice,voi_score,voi_total,voi_split,voi_merge
1004283650,none,0.6999934536810479,0.5257048092868989,1.0,0.037037037037037035,nan,0.9740050590942917,0.5753721148913608,2.460018911348734,1.249765530004934,1.2102533813438001
102536988,none,0.49229953113076963,0.12250612118872556,0.24102564102564103,0.0003951007506914263,nan,0.8298769235229277,0.471687918688935,3.733486064115711,1.8308478000049015,1.9026382641108097
1029212680,none,0.6492294346198205,0.3919018767548397,0.7722772277227723,0.0,nan,0.9738153066511391,0.5452100407584857,2.7805183644381612,1.4207793782997284,1.3597389861384328
1033784946,none,0.6125676600856546,0.3246117631640112,0.6371681415929203,0.002583979328165375,nan,0.9397912285716191,0.5321634318182417,2.9304065894650835,1.4967521983545669,1.4336543911105166
1059332280,none,0.5529007968054415,0.2915211178151795,0.574468085106383,0.0,nan,0.8220147283706762,0.5078265900890029,3.230587104052833,1.7288785400509343,1.5017085640018988
1061356924,none,0.5046969521552644,0.08047866394897758,0.15859030837004406,0.0,nan,0.8239216628479491,0.5490879170679686,2.73733992265951,1.424478622234807,1.3128613004247032
1159818141,none,0.5608235373482132,0.22201492537313433,0.4375,0.0,nan,0.84611744555178,0.5659370108375714,2.556603655237339,1.3328685155587072,1.223735139678632
1176487902,none,0.4740036913024961,0.10149253731343284,0.2,0.0,nan,0.7467127747558345,0.5205898826969263,3.0696595870533123,1.3145184893299702,1.7551410977233424
1189767014,none,0.4516911118466162,0.05043107444145731,0.09937888198757763,0.0,nan,0.7372503868808181,0.510069011731122,3.2017300731267877,1.6275862146482578,1.57414385847853
1235128733,none,0.5491856789644647,0.192175218581648,0.378698224852071,0.0,nan,0.8793362186249702,0.5250441053463737,3.0153396626892013,1.52326993868474,1.4920697240044616
1253813461,none,0.6725910832485723,0.4300531242094612,0.847457627118644,0.0,nan,0.9773171167509555,0.5757547289225703,2.456168977088181,1.248934766902279,1.2072342101859017
1261544272,none,0.6224844117236648,0.39385163733570955,0.7761194029850746,0.0,nan,0.9063653416454831,0.5345744312772364,2.90215631657218,1.552935531734819,1.3492207848373612
1330705651,none,0.4425796216476647,0.031726016665873685,0.06050420168067227,0.0020757654385054488,nan,0.7594691442793167,0.47785033185754777,3.642351543510145,1.7932737296088461,1.8490778139012989
1341999317,none,0.5213108054821004,0.10597762636543391,0.20765027322404372,0.0012239902080783353,nan,0.8620387913567649,0.5365826874217217,2.8788188875107474,1.4713243672701029,1.4074945202406446
1351645019,none,0.6498222563944863,0.39469320066334995,0.7777777777777778,0.0,nan,0.9589424012441253,0.5593841593143928,2.625600751283618,1.3324237747147638,1.2931769765688543
1391167593,none,0.31252144074263,0.021449148209330627,0.04105571847507331,0.0012484394506866417,nan,0.3144868131205642,0.5600466048218096,2.6185522858891996,0.8829502434964331,1.7356020423927667
1430679851,none,0.5624613724803776,0.29164522216503685,0.5747126436781609,0.0,nan,0.843891226037602,0.5131596477648741,3.162370972046191,1.6584825340844935,1.5038884379616977
1449602646,none,0.583651744289538,0.18695993715632364,0.3684210526315789,0.0,nan,0.9321913928326856,0.5751336447177171,2.4624210342786945,1.214914002396649,1.2475070318820458
1460828631,none,0.45946961424877,0.08394119627426776,0.16541353383458646,0.0,nan,0.693523612839317,0.547297116779225,2.757203654965789,1.3721820986426383,1.3850215563231507
1531506078,none,0.6580824515788676,0.35820895522388063,0.7058823529411765,0.0,nan,0.9299061524312425,0.6432931761736245,1.8483372591644003,0.9133110170869061,0.9350262420774942
1578248244,none,0.5708424616170324,0.23614600265996752,0.46534653465346537,0.0,nan,0.9178944270456382,0.5106731752944824,3.1939986171086474,1.6819997013520045,1.5119989157566431
1589119778,none,0.5335710116348654,0.06044220584422799,0.11910669975186104,0.0,nan,0.9212194000582483,0.5514615996034576,2.7112096334484885,1.4318849025670917,1.2793247308813969
1596691633,none,0.6431627512373371,0.38546941264444706,0.7560975609756098,0.0036101083032490976,nan,0.9600968812790752,0.5471086257037905,2.759301980257994,1.426613403872373,1.332688576385621
1613378452,none,0.700447427928195,0.3796236210253083,0.7058823529411765,0.043478260869565216,nan,0.9812083224809638,0.694678367863615,1.4650503324550919,0.7427872848475419,0.72226304760755
1625909146,none,0.6352675843419263,0.3374292502409557,0.660377358490566,0.004694835680751174,nan,0.9691322511173932,0.5566929182244343,2.654408245929003,1.3619569528631432,1.2924512930658598
1639956906,none,0.5250112723753302,0.10393814062219026,0.20481927710843373,0.0,nan,0.8282707467690019,0.5826716251986357,2.3874417811181106,1.1926315773551814,1.1948102037629291
1643996246,none,0.43422716500239156,0.061315046389673264,0.12082670906200318,0.0,nan,0.6973829956439066,0.490710293171778,3.459540954645922,1.6583514302728484,1.8011895243730736
1662041291,none,0.8852688652075414,1.0,1.0,nan,nan,0.9968924891642501,0.6753042685715827,1.602713258500105,0.7860361439507005,0.8166771145494043
1666298112,none,0.6909268451959789,0.4910929224843525,0.967741935483871,0.0,nan,0.9704455870336052,0.5826943228254613,2.387218940404523,1.2337277307141787,1.1534912096903442
1671010748,none,0.4204615670164967,0.036258706467661696,0.07058823529411765,0.0008888888888888889,nan,0.636791926984807,0.5334479446614735,2.9153238537304755,1.2665308589668214,1.6487929947636542
1704770049,none,0.608552658364123,0.2788256519599804,0.5494505494505495,0.0,nan,0.9390346464906785,0.5606938185839756,2.611681972438399,1.3244623356510807,1.2872196367873183
1725830085,none,0.5883977419817313,0.12876736011064369,0.25,0.003861003861003861,nan,0.9398947981325275,0.6308695845775818,1.9503788867846632,0.9094176132254685,1.0409612735591947
17283971,none,0.5471972970298047,0.08654891698772046,0.1694915254237288,0.001092896174863388,nan,0.9183187100926216,0.5709173525744887,2.5052233654638476,1.2714366906516004,1.2337866748122472
1757276221,none,0.5358772362766657,0.09226594301221168,0.18181818181818182,0.0,nan,0.8540521722936597,0.5979405516292038,2.241356866638933,1.2651648717413582,0.976191994897575
176501514,none,0.6420122737915458,0.42485248177716073,0.8372093023255814,0.0,nan,0.94459301994801,0.5255684922188403,3.009005263222744,1.5566390109619535,1.4523662522607907
1793326608,none,0.5671044308538706,0.21646834499835682,0.42424242424242425,0.002398081534772182,nan,0.8827355764651772,0.5520185016901474,2.7051116157534656,1.1181567276586184,1.586954888094847
1798146413,none,0.596795831187175,0.2479220695564718,0.48717948717948717,0.0014144271570014145,nan,0.9354113253773322,0.5572149898233352,2.6487981495080843,1.3378137993434496,1.3109843501646345
1823626595,none,0.3233285413639838,0.03085831385030868,0.059907834101382486,0.0009285051067780873,nan,0.39559881176799205,0.5017470374002685,3.3101206083272494,1.1667936249338824,2.1433269833933672
1853493924,none,0.5688601084924384,0.24269954574951333,0.4782608695652174,0.0,nan,0.8394916159356023,0.5777947976860676,2.4357274935944107,1.2687394522966335,1.1669880412977771
1871106040,none,0.5251904655864094,0.2329336921947639,0.45901639344262296,0.0,nan,0.7511572181123068,0.5497295188247794,2.7302547025781942,1.4139054392577075,1.3163492633204867
1882650170,none,0.5096845541579085,0.22098640288021254,0.4262295081967213,0.009523809523809525,nan,0.6746293087670341,0.5921953577868081,2.2954398231988096,1.1962122629974021,1.0992275602014074
1914571029,none,0.6693141289164534,0.47363184079601994,0.9333333333333333,0.0,nan,0.9697807434038833,0.5365751899608235,2.8789056887070013,1.5060798354786642,1.372825853228337
193365288,none,0.492028078803901,0.02537313432835821,0.05,0.0,nan,0.7642914986417302,0.61975461137368,2.0451394882646086,1.045291837614212,0.9998476506503967
1939536631,none,0.6321489133496447,0.3674729799279465,0.7241379310344828,0.0,nan,0.9370241097381827,0.554138802751134,2.682006716459835,1.2242623411185078,1.4577443753413273
1960540938,none,0.6885013499729743,0.43940529015155877,0.8571428571428571,0.009009009009009009,nan,0.9745858566082294,0.6159277517560754,2.078556817467059,1.0320906677174047,1.0464661497496541
1961113613,none,0.6501268460250409,0.3544183842691305,0.6984126984126984,0.0,nan,0.9783446119953858,0.5753734758454767,2.4600052080987345,1.245201754085325,1.2148034540134092
1963069058,none,0.6095657069546176,0.3453661922943423,0.6511627906976745,0.030303030303030304,nan,0.8873490248378053,0.5582391159230948,2.637823538791955,1.378855693575235,1.2589678452167203
1966171058,none,0.8731695879903305,0.9811320754716981,0.9811320754716981,nan,nan,0.9912305657179937,0.662569335278638,1.6975866864281115,0.8409048219936409,0.8566818644344706
19797301,none,0.5801629220964089,0.12276395798783858,0.24074074074074073,0.0012121212121212121,nan,0.906422763080582,0.6459593360624388,1.8269502127676733,1.0522803512940906,0.7746698614735827
2059872339,none,0.44747599199103066,0.034740721818778963,0.06845965770171149,0.0,nan,0.7256682336655284,0.523056839035606,3.0394603758154046,1.4717718200035845,1.5676885558118199
215093936,none,0.5744800772538354,0.18851521006599276,0.37073170731707317,0.000777000777000777,nan,0.9500184336446709,0.5297687498811512,2.9587201977236357,1.4716175657070458,1.4871026320165899
2157512838,none,0.39486366762475134,0.08065632104378768,0.15894039735099338,0.0,nan,0.5476013382222529,0.511446579810933,3.1841280495652877,1.6407920111047596,1.5433360384605281
2210475972,none,0.663432520216669,0.4228855721393035,0.8333333333333334,0.0,nan,0.9720374730127971,0.5610106657725685,2.608324351094102,1.357168392152508,1.2511559589415937
2220704498,none,0.45967036889027146,0.09505645056332353,0.18691588785046728,0.00041339396444811904,nan,0.769898441073938,0.4619685124154176,3.8821656536103655,1.8520112360384575,2.030154417571908
2220787575,none,0.5657557050769724,0.10583536389988002,0.2078853046594982,0.000693000693000693,nan,0.8847967968189134,0.6409320486296821,1.8674259990483548,1.0631319163008426,0.8042940827475122
2292614243,none,0.6527523931152832,0.4089997772332368,0.8059701492537313,0.0,nan,0.9591643167439594,0.5552712830997897,2.669738380955714,1.3967095377247063,1.2730288432310075
2306395636,none,0.47865290283076156,0.042230433997826264,0.07889546351084813,0.004454342984409799,nan,0.7916938483626067,0.5396883591557181,2.8430706538639434,1.4837714951511645,1.359299158712779
237111043,none,0.6523926606303458,0.39469320066334995,0.7777777777777778,0.0,nan,0.9639061927339159,0.5617643799270584,2.6003524830691687,1.3593847398330619,1.2409677432361068
2424610202,none,0.6644885201671492,0.3127669615376461,0.6141732283464567,0.0022271714922048997,nan,0.9907872649439619,0.639665397072768,1.8777244299712137,0.9306233926399278,0.9471010373312859
244496252,none,0.4215559430759466,0.05921663930461795,0.11607142857142858,0.0006389776357827476,nan,0.7003196775785925,0.4533687546630112,4.019033363862195,1.6593722407152292,2.3596611231469655
2456859500,none,0.6848247185686291,0.4253731343283582,0.75,0.09090909090909091,nan,0.9689733350388627,0.6230631743043424,2.016578956146847,0.9907426776254621,1.0258362785213848
246751123,none,0.6690569200826025,0.442876526458616,0.8727272727272727,0.0,nan,0.9641458009916757,0.5678369479940893,2.536896395655754,1.2973169681250107,1.2395794275307435
