case,t_low,t_high,z_radius,xy_radius,dust_min_size,leaderboard,toposcore,surface_dice,voi_score
1757276221,0.3,0.75,1,0,100,0.5488767377269118,0.10797078437599239,0.8411552668441864,0.6345175971961396
176501514,0.3,0.75,1,0,100,0.6452970790531471,0.4331998543866036,0.9407907659692202,0.5316010132798257
1793326608,0.3,0.75,1,0,100,0.6187178674061369,0.3540652003142184,0.9038889685274827,0.5603919095064356
1798146413,0.3,0.75,1,0,100,0.6634402989445924,0.4624835008630318,0.9359232729212489,0.5632060090378452
1823626595,0.3,0.75,1,0,100,0.45438275500863234,0.11905395836283812,0.6172038824596329,0.5789863103968842
1853493924,0.3,0.75,1,0,100,0.6339048482658348,0.4638491751767479,0.8287749678278649,0.5847967342087365
1871106040,0.3,0.75,1,0,100,0.5614289606357111,0.3565954013715208,0.7457173823755815,0.5527121611222897
1882650170,0.3,0.75,1,0,100,0.5122879469297276,0.21908099755703841,0.685658008286374,0.5902381278925289
1914571029,0.3,0.75,1,0,100,0.669938755036856,0.47363184079601994,0.9656749922035068,0.5424655872194931
193365288,0.3,0.75,1,0,100,0.49842795608699175,0.020164406147106084,0.7850222298071943,0.6217738680295485
1939536631,0.3,0.75,1,0,100,0.6458448465469175,0.4021402421853,0.940385835826715,0.5601935181485065
1960540938,0.3,0.75,1,0,100,0.6802743219297105,0.4065200314218382,0.9712898765882022,0.6239053019922524
1961113613,0.3,0.75,1,0,100,0.6420109138829122,0.3189765458422175,0.9783688792860946,0.582539549657468
1963069058,0.3,0.75,1,0,100,0.6220199611084526,0.39407759876843035,0.874728034666221,0.5646910552707035
1966171058,0.3,0.75,1,0,100,0.8722645281266371,0.9811320754716981,0.9923387754248084,0.6588752402469849
19797301,0.3,0.75,1,0,100,0.6624257169698753,0.40155950092134896,0.9007783138096328,0.6476727338859976
2059872339,0.3,0.75,1,0,100,0.4797522108914425,0.03854146986586057,0.7624879264334344,0.5751971305142352
215093936,0.3,0.75,1,0,100,0.6578296343902986,0.4569090033702456,0.9503257825563841,0.5375511699556873
2157512838,0.3,0.75,1,0,100,0.4242793556594361,0.15562189054726366,0.5697728885575667,0.5090636500003104
2210475972,0.3,0.75,1,0,100,0.6542995492023037,0.39035591274397247,0.9700959267606566,0.5647405743225207
2220704498,0.3,0.75,1,0,100,0.4706819856127034,0.06690427088434805,0.8055269337514801,0.48193222152680276
2220787575,0.3,0.75,1,0,100,0.6618298403272698,0.42750459192937135,0.8881196312703538,0.6363902622966704
